warehouseName,itemName,sku,size,color,barcode,closingStock,reserved,damaged,inTransit
REBEL MASS EXPORT PVT LTD,AW24SS0005-0003746 BLACK,0003746-XL,XL,,0003746-XL,57,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0015-0005024 WINE,0005024-XL,XL,,0005024-XL,57,0,0,0
REBEL MASS EXPORT PVT LTD,CSS25-15-0007-0007219 ORANGE,0007219-XL,XL,,0007219-XL,57,0,0,0
REBEL MASS EXPORT PVT LTD,CSS25-15-0007-0007222 L.GREEN,0007222-L,L,,0007222-L,57,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0006-0007030 ORANGE,0007030-L,L,,0007030-L,57,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0025 SKY BLUE,DA0579-XL,XL,,DA0579-XL,57,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0027 SKY BLUE,DA0586-L,L,,DA0586-L,57,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0020 MAROON,DA1656-XL,XL,,DA1656-XL,57,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0005-0003745 BLACK,0003745-L,L,,0003745-L,56,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0006-0003749 BLACK,0003749-L,L,,0003749-L,56,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0003-0006939 BLUE,0006939-XL,XL,,0006939-XL,56,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0004-0006974 BLUE,0006974-L,L,,0006974-L,56,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0027 SKY BLUE,DA0587-XL,XL,,DA0587-XL,56,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0028 SKY BLUE,DA0591-XL,XL,,DA0591-XL,56,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0013 WHITE,DA1015-L,L,,DA1015-L,56,0,0,0
REBEL MASS EXPORT PVT LTD,AW24D0004-0003506 CARBON,0003506-76.2CM(30),76.2CM (30),,0003506-76.2CM(30),55,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SH0167-0006059 WHITE,0006059-XL,XL,,0006059-XL,55,0,0,0
REBEL MASS EXPORT PVT LTD,AW24WL0001-0003764 BLACK,0003764-M,M,,0003764-M,55,0,0,0
REBEL MASS EXPORT PVT LTD,DNM25-34-0007-0007791 D.BLUE,0007791-81.28CM(32),81.28CM (32),,0007791-81.28CM(32),55,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0024 SKY BLUE,DA0574-L,L,,DA0574-L,55,0,0,0
REBEL MASS EXPORT PVT LTD,DNM26-0006 BLACK,DA4230-81.28CM(32),81.28CM (32),,DA4230-81.28CM(32),54,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SH0168-0006062 WHITE,0006062-L,L,,0006062-L,54,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0013-0004145 BLACK,0004145-XL,XL,,0004145-XL,54,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0067 WHITE,DA2412-XL,XL,,DA2412-XL,54,0,0,0
REBEL MASS EXPORT PVT LTD,CSS25-15-0007-0007218 ORANGE,0007218-L,L,,0007218-L,54,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0028 SKY BLUE,DA0590-L,L,,DA0590-L,54,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0046 OLIVE,DA2149-XL,XL,,DA2149-XL,54,0,0,0
REBEL MASS EXPORT PVT LTD,TS25-0053 OFF WHITE,DA2345-XL,XL,,DA2345-XL,53,0,0,0
REBEL MASS EXPORT PVT LTD,AW24D0016-0004382 GRY/BLACK.,0004382-81.28CM(32),81.28CM (32),,0004382-81.28CM(32),53,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SH0167-0006058 WHITE,0006058-L,L,,0006058-L,53,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0008-0003757 SEA BLUE,0003757-L,L,,0003757-L,53,0,0,0
REBEL MASS EXPORT PVT LTD,AW24TK0001-0005128 B.MELANGE,0005128-M,M,,0005128-M,53,0,0,0
REBEL MASS EXPORT PVT LTD,CSS25-15-0007-0007227 GREEN,0007227-XL,XL,,0007227-XL,53,0,0,0
REBEL MASS EXPORT PVT LTD,CWC25-15-0003 MUSTARD,DA0982-101.6CM(40),101.6CM (40),,DA0982-101.6CM(40),53,0,0,0
REBEL MASS EXPORT PVT LTD,DCR25-34-0006-0007830 L.BLUE,0007830-81.28CM(32),81.28CM (32),,0007830-81.28CM(32),53,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0049 WHITE,DA2067-L,L,,DA2067-L,53,0,0,0
REBEL MASS EXPORT PVT LTD,FSH25-0062 D.PINK,DA2287-XL,XL,,DA2287-XL,52,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SH0164-0006046 WHITE,0006046-L,L,,0006046-L,52,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SH0169-0006066 WHITE,0006066-L,L,,0006066-L,52,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0002-0003733 BEIGE,0003733-L,L,,0003733-L,52,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0008-0003758 SEA BLUE,0003758-XL,XL,,0003758-XL,52,0,0,0
REBEL MASS EXPORT PVT LTD,AW24SS0026-0006431 ANTRA,0006431-XXL,XXL,,0006431-XXL,52,0,0,0
REBEL MASS EXPORT PVT LTD,CSH25-0067 WHITE,DA2411-L,L,,DA2411-L,52,0,0,0
REBEL MASS EXPORT PVT LTD,DCR25-34-0006-0007831 L.BLUE,0007831-86.36CM(34),86.36CM (34),,0007831-86.36CM(34),52,0,0,0
