storeName,itemName,sku,size,color,barcode,closingStock,inTransit,damaged,sold,returned,rate,value
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CR0002A-0004300 TINT BLUE,0004300-96.52CM(38),96.52CM (38),,0004300,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CR0002A-0004310 L.BLUE,0004310-81.28CM(32),81.28CM (32),,0004310,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CR0003-0003501 BLUE TOWEL,0003501-81.28CM(32),81.28CM (32),,0003501,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CR0003-0003503 BLUE TOWEL,0003503-91.44CM(36),91.44CM(36),,0003503,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0001-0002844 BEIGE,0002844-76.20CM(30),76.20CM (30),,0002844,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0002-0002850 TEAL,0002850-81.28CM(32),81.28CM (32),,0002850,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0002-0002870 MOUSE,0002870-81.28CM(32),81.28CM (32),,0002870,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0003-0004817 KHAKI,0004817-81.28CM(32),81.28CM (32),,0004817,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0004-0005728 GREEN,0005728-81.28CM(32),81.28CM (32),,0005728,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0004-0005729 GREEN,0005729-86.36CM(34),86.36CM (34),,0005729,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0004-0005749 OLIVE,0005749-86.36CM(34),86.36CM (34),,0005749,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0004-0005784 MAHANDI,0005784-86.36CM(34),86.36CM (34),,0005784,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0005-0005753 COFFEE,0005753-81.28CM(32),81.28CM (32),,0005753,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0006-0006547 NAVY,0006547-81.28CM(32),81.28CM (32),,0006547,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24CTR0006-0006548 NAVY,0006548-86.36CM(34),86.36CM (34),,0006548,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0001-0002391 HARD WASH,0002391-81.28CM(32),81.28CM (32),,0002391,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0001-0002392 HARD WASH,0002392-86.36CM(34),86.36CM (34),,0002392,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0001-0002396 BATA WASH,0002396-81.28CM(32),81.28CM (32),,0002396,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0001-0002402 DIRTY EARTH,0002402-86.36CM(34),86.36CM (34),,0002402,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0002-0002543 BLACK,0002543-81.28CM(32),81.28CM (32),,0002543,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0002-0002549 CARBON BLUE,0002549-81.28CM(32),81.28CM (32),,0002549,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0004-0003510 CARBON,0003510-96.52CM(38),96.52CM (38),,0003510,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0007-0003525 BLACK,0003525-81.28CM(32),81.28CM (32),,0003525,2,0,0,0,0,0,0
REBEL MASS EXPORT PVT. LTD. (MUKTSAR SAHIB),AW24D0008-0003531 BLACK,0003531-81.28CM(32),81.28CM (32),,0003531,2,0,0,0,0,0,0
